sampled_at,year,month,day,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,,,,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,one_percent_weightloss_sd,five_percent_weightloss,five_percent_weightloss_sd,ten_percent_weightloss,ten_percent_weightloss_sd,crystallinity,crystallinity_sd,birefringence,birefringence_sd,diameter,diameter_sd,water_content_sd,water_content,supercontraction_sd,supercontraction
42834,2017,4,9,Japan,7,0.034,0.015,2.57,0.42,0.54,0.19,14.4,3.7,,,,14,37.6,11.2,0.79,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42834,2017,4,9,Japan,8,0.028,0.004,15.8,3.95,0.91,0.1,5.4,1.4,,,,,41.9,7.4,0.64,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42835,2017,4,10,Japan,7,0.021,0.008,9.44,2.85,0.73,0.11,5.9,1.7,,,,10,65.2,14.3,0.56,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42835,2017,4,10,Japan,8,,,,,,,,,,,,,19.3,4.4,0.65,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42835,2017,4,10,Japan,3,,,,,,,,,,,,,26.7,3.4,0.76,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503,2016,5,13,Japan,5,0.421,0.111,30.4,2.5,3.06,0.37,24.1,4.1,,,,,58.9,9.7,0.72,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42148,2015,5,24,Japan,,0.286,0.093,15.6,4.38,2.2,0.75,23.7,3.6,220,274,292,15,31.5,14.8,2.08,0.32,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42503,2016,5,13,Japan,5,0.25,0.086,16.8,3.9,2.12,0.32,20.2,4.8,,,,,52.4,15.7,0.76,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42135,2015,5,11,Japan,,0.223,0.059,9.86,1.87,1.75,0.39,28.4,5,227,284,303,22,30.2,6.3,3.05,0.36,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42509,2016,5,19,Japan,5,0.215,0.054,8.11,1.27,2.12,0.34,19.8,2.3,,,,,51.8,10.7,0.41,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
